,fit_time,score_time,test_roc_auc,train_roc_auc,test_f1,train_f1,test_balanced_accuracy,train_balanced_accuracy,model,subject,session,task,acquisition,run,processing,space,recording,split,description
355,0.10257983207702637,0.01671433448791504,0.7540983606557377,0.966671940093867,0.4761904761904762,0.7927927927927927,0.6755464480874317,0.842561830933924,tLDA,A09,,covert,,,ica,,,,
356,0.127349853515625,0.019012451171875,0.6717948717948719,0.9722815637684256,0.2222222222222222,0.8214285714285714,0.551923076923077,0.8643452253791926,tLDA,A09,,covert,,,ica,,,,
357,0.11223769187927246,0.018717527389526367,0.573076923076923,0.978263191625721,0.0,0.8468468468468467,0.48333333333333334,0.8757209997863704,tLDA,A09,,covert,,,ica,,,,
358,0.11693024635314941,0.018159866333007812,0.7435897435897436,0.9701452681051057,0.13333333333333336,0.8,0.5301282051282051,0.8593783379619739,tLDA,A09,,covert,,,ica,,,,
359,0.11572694778442383,0.018821239471435547,0.8291666666666666,0.9656259854935352,0.47058823529411764,0.7719298245614035,0.6583333333333333,0.8376169452328392,tLDA,A09,,covert,,,ica,,,,
360,1.4324791431427002,0.03806471824645996,0.6387867647058824,0.8989583333333333,0.25,0.6533333333333333,0.5569852941176471,775,CBLE,A09,,split,,,ica,,,,
361,2.99564790725708,0.03919863700866699,0.8226102941176471,0.9030877976190477,0.5925925925925926,0.5777777777777778,0.7279411764705883,0.7199404761904762,CBLE,A09,,split,,,ica,,,,
362,1.6252424716949463,0.039125680923461914,0.6930970149253732,0.9018175074183976,0.2222222222222222,0.6808510638297871,0.5340485074626866,0.7807121661721068,CBLE,A09,,split,,,ica,,,,
363,1.8632946014404297,0.03645682334899902,0.6875,0.9109792284866469,0.47058823529411764,0.6382978723404255,0.6753731343283582,0.7575111275964392,CBLE,A09,,split,,,ica,,,,
364,3.154910087585449,0.040119171142578125,0.730410447761194,0.9001854599406528,0.3157894736842105,0.5203252032520326,0.59375,0.6836795252225519,CBLE,A09,,split,,,ica,,,,
365,1.7685856819152832,0.04056096076965332,0.8750,0.8885385756676558,0.2857142857142857,0.5984251968503936,0.5788246268656716,0.724146884272997,CBLE,A09,,split,,,ica,,,,
366,4.868973731994629,0.037764549255371094,0.703125,0.8938988095238095,0.25,0.6428571428571429,0.5569852941176471,0.7589285714285714,wCBLE,A09,,split,,,ica,,,,
367,3.919090747833252,0.03872323036193848,0.7977941176470588,0.8741815476190476,0.4800000000000001,0.6046511627906976,0.6654411764705883,0.7288690476190476,wCBLE,A09,,split,,,ica,,,,
368,4.171872138977051,0.04069399833679199,0.6623134328358209,0.8936943620178043,0.2222222222222222,0.5970149253731343,0.5340485074626866,0.7292284866468843,wCBLE,A09,,split,,,ica,,,,
369,5.261980295181274,0.03679776191711426,0.7052238805970149,0.9006305637982196,0.5333333333333333,0.6438356164383561,0.7052238805970149,0.7655600890207716,wCBLE,A09,,split,,,ica,,,,
370,5.170603513717651,0.03963160514831543,0.7611940298507462,0.8735163204747775,0.3,0.6093749999999999,0.5862873134328358,0.730396884272997,wCBLE,A09,,split,,,ica,,,,
371,4.168067455291748,0.040313720703125,0.8507462686567163,0.8770029673590505,0.43478260869565216,0.6165413533834586,0.6413246268656716,0.7384458456973293,wCBLE,A09,,split,,,ica,,,,
372,0.10822224617004395,0.01810598373413086,0.6930147058823529,0.9518973214285715,0.16,0.726027397260274,0.5110294117647058,0.8119047619047619,tLDA,A09,,split,,,ica,,,,
373,0.10045576095581055,0.018097639083862305,0.8235294117647058,0.9533482142857143,0.38461538461538464,0.7412587412587412,0.6194852941176471,0.8163690476190476,tLDA,A09,,split,,,ica,,,,
374,0.09952998161315918,0.01756739616394043,0.7061567164179104,0.9528189910979228,0.26086956521739124,0.75177304964539,0.5638992537313433,0.8193805637982196,tLDA,A09,,split,,,ica,,,,
375,0.09718751907348633,0.017798423767089844,0.6343283582089552,0.9644658753709199,0.3448275862068966,0.7638888888888888,0.5965485074626866,0.830396884272997,tLDA,A09,,split,,,ica,,,,
376,0.10331273078918457,0.017905235290527344,0.7201492537313432,0.9488872403560831,0.2727272727272727,0.7702702702702703,0.5713619402985075,0.8399295252225519,tLDA,A09,,split,,,ica,,,,
377,0.09854793548583984,0.018114566802978516,0.7966417910447761,0.9490727002967358,0.2,0.723404255319149,0.5475746268656716,0.8039132047477744,tLDA,A09,,split,,,ica,,,,
378,0.7411127090454102,0.07591819763183594,0.8232118758434548,0.9726435536294691,0.5384615384615384,0.8270676691729324,0.7165991902834008,0.9001895991332611,CBLE,A12,,overt,,,ica,,,,
379,0.6789820194244385,0.033905029296875,0.9176788124156545,0.9674972914409534,0.7199999999999999,0.8235294117647058,0.819838056680162,0.9043607800650054,CBLE,A12,,overt,,,ica,,,,
380,1.18379545211792,0.03339695930480957,0.9176788124156545,0.9645720476706392,0.6666666666666667,0.8148148148148148,0.8232118758434548,0.8966684723726976,CBLE,A12,,overt,,,ica,,,,
381,1.3092901706695557,0.037790536880493164,0.9838056680161943,0.9646803900325027,0.8,0.7794117647058824,0.8670715249662618,0.8760021668472373,CBLE,A12,,overt,,,ica,,,,
382,0.888636589050293,0.03511762619018555,0.9203778677462888,0.9630552546045503,0.7500000000000001,0.8148148148148148,0.8286099865047234,0.8966684723726976,CBLE,A12,,overt,,,ica,,,,
383,0.594097375869751,0.03636288642883301,0.8543956043956045,0.9686369770580298,0.4444444444444445,0.7969924812030074,0.6593406593406593,0.8813765182186235,CBLE,A12,,overt,,,ica,,,,
384,2.859955310821533,0.03600668907165527,0.8502024291497976,0.9804442036836403,0.5714285714285715,0.8549618320610687,0.7462887989203779,0.9131635969664139,wCBLE,A12,,overt,,,ica,,,,
385,2.577582597732544,0.035280466079711914,0.9352226720647774,0.980281690140845,0.7692307692307693,0.8633093525179857,0.8582995951417004,0.9368905742145179,wCBLE,A12,,overt,,,ica,,,,
386,2.8149094581604004,0.03455066680908203,0.9338731443994601,0.9733477789815818,0.7692307692307693,0.835820895522388,0.8582995951417004,0.9078819068255688,wCBLE,A12,,overt,,,ica,,,,
387,3.5098819732666016,0.033258676528930664,0.9959514170040487,0.9751895991332611,0.9230769230769231,0.7936507936507937,0.9527665317139001,0.8652491874322861,wCBLE,A12,,overt,,,ica,,,,
