,fit_time,score_time,test_roc_auc,train_roc_auc,test_f1,train_f1,test_balanced_accuracy,train_balanced_accuracy,model,n_iter,subject,session,task,acquisition,run,processing,space,recording,split,description
0,0.43829965591430664,0.038335323333740234,0.7690014903129658,0.9450108832626876,0.45454545454545453,0.7027027027027026,0.6780923994038748,0.8129510825982358,wCBLE,1,A02,,overt,,,ica,,,,
1,0.46112704277038574,0.0382993221282959,0.8807749627421758,0.9457555275518388,0.6,0.7130434782608696,0.7481371087928465,0.826870202772368,wCBLE,1,A02,,overt,,,ica,,,,
2,0.38607239723205566,0.03924107551574707,0.8986111111111111,0.9481236203090508,0.6086956521739131,0.66,0.7583333333333333,0.7729173928197979,wCBLE,1,A02,,overt,,,ica,,,,
3,0.4200451374053955,0.03734540939331055,0.8652777777777778,0.947252236551644,0.4761904761904762,0.6923076923076923,0.675,0.7975775531544091,wCBLE,1,A02,,overt,,,ica,,,,
4,0.5615570545196533,0.07840371131896973,0.9041666666666668,0.9496340188218892,0.4,0.7378640776699029,0.625,0.8200883002207505,wCBLE,1,A02,,overt,,,ica,,,,
5,0.4375193119049072,0.03939247131347656,0.8606060606060606,0.9547841973053208,0.380952380952381,0.7272727272727274,0.6318181818181818,0.8249600365380224,wCBLE,1,A02,,overt,,,ica,,,,
6,0.6210730075836182,0.05239081382751465,0.760059612518629,0.9514835605453087,0.380952380952381,0.6857142857142856,0.6326378539493294,0.7920724023370375,wCBLE,2,A02,,overt,,,ica,,,,
7,0.6776409149169922,0.03792214393615723,0.910581222056632,0.9518845228548516,0.631578947368421,0.7387387387387387,0.7563338301043219,0.8335147210447932,wCBLE,2,A02,,overt,,,ica,,,,
8,0.6063354015350342,0.03647160530090332,0.9083333333333333,0.9519577088416404,0.5454545454545454,0.7787610619469025,0.7166666666666667,0.8660973626118276,wCBLE,2,A02,,overt,,,ica,,,,
9,0.8622434139251709,0.06884026527404785,0.8611111111111112,0.9559660741257116,0.5,0.7184466019417476,0.7,0.8096607412571163,wCBLE,2,A02,,overt,,,ica,,,,
10,0.7882165908813477,0.07502913475036621,0.9152777777777779,0.9599163471592889,0.2857142857142857,0.7524752475247524,0.5833333333333334,0.8233995584988962,wCBLE,2,A02,,overt,,,ica,,,,
11,0.6098315715789795,0.03623795509338379,0.8757575757575758,0.9591801781228592,0.39999999999999997,0.7413793103448276,0.6401515151515151,0.845855218086321,wCBLE,2,A02,,overt,,,ica,,,,
12,0.756894588470459,0.03957009315490723,0.7690014903129657,0.9520563638446558,0.380952380952381,0.6857142857142856,0.6326378539493294,0.7920724023370375,wCBLE,3,A02,,overt,,,ica,,,,
13,0.72666335105896,0.0383763313293457,0.8971684053651267,0.9543475770420438,0.631578947368421,0.7289719626168225,0.7563338301043219,0.8195956008706611,wCBLE,3,A02,,overt,,,ica,,,,
14,0.8815593719482422,0.07494115829467773,0.9111111111111111,0.9517253398396655,0.5454545454545454,0.7155963302752295,0.7166666666666667,0.8205820843499477,wCBLE,3,A02,,overt,,,ica,,,,
15,0.8449656963348389,0.07282114028930664,0.8541666666666667,0.9560822586266993,0.3636363636363636,0.7115384615384615,0.6166666666666667,0.8080051121180435,wCBLE,3,A02,,overt,,,ica,,,,
16,1.1120870113372803,0.038292646408081055,0.9069444444444444,0.9575345648890438,0.26666666666666666,0.7254901960784313,0.575,0.8113163703961892,wCBLE,3,A02,,overt,,,ica,,,,
17,0.44318604469299316,0.0391535758972168,0.8833333333333333,0.9627197990408769,0.5555555555555556,0.7387387387387387,0.7106060606060606,0.8335807261931948,wCBLE,3,A02,,overt,,,ica,,,,
18,1.0171172618865967,0.051105499267578125,0.7853949329359166,0.9517126818650474,0.39999999999999997,0.7102803738317757,0.6408345752608048,0.8093137816473823,wCBLE,4,A02,,overt,,,ica,,,,
19,1.1005282402038574,0.03701519966125488,0.9031296572280179,0.956409668919693,0.631578947368421,0.7142857142857143,0.7563338301043219,0.8215717722534082,wCBLE,4,A02,,overt,,,ica,,,,
20,1.077632188796997,0.037488460540771484,0.9125000000000001,0.9497502033228769,0.5454545454545454,0.6981132075471698,0.7166666666666667,0.8046938538398978,wCBLE,4,A02,,overt,,,ica,,,,
21,0.990454912185669,0.03636288642883301,0.8597222222222223,0.9573021958870687,0.43478260869565216,0.7254901960784313,0.6583333333333333,0.8113163703961892,wCBLE,4,A02,,overt,,,ica,,,,
22,1.2226173877716064,0.07528972625732422,0.9013888888888889,0.9586383176484257,0.2857142857142857,0.712871287128713,0.5833333333333334,0.8025444405716278,wCBLE,4,A02,,overt,,,ica,,,,
23,1.075218915939331,0.037078857421875,0.8772727272727273,0.9615779858415163,0.6,0.7272727272727274,0.7477272727272727,0.8249600365380224,wCBLE,4,A02,,overt,,,ica,,,,
24,1.3037092685699463,0.03815436363220215,0.7704918032786885,0.9517126818650475,0.39999999999999997,0.6923076923076923,0.6408345752608048,0.7937335319051437,wCBLE,5,A02,,overt,,,ica,,,,
25,1.2420363426208496,0.03660011291503906,0.8986587183308494,0.9557795852904112,0.631578947368421,0.7476635514018692,0.7563338301043219,0.8298774200939398,wCBLE,5,A02,,overt,,,ica,,,,
26,1.3359405994415283,0.04678606986999512,0.9111111111111111,0.9495759265713954,0.5714285714285715,0.7115384615384615,0.725,0.8080051121180435,wCBLE,5,A02,,overt,,,ica,,,,
27,1.0485925674438477,0.06009101867675781,0.8541666666666667,0.9593354246543511,0.34782608695652173,0.7378640776699029,0.6083333333333333,0.8200883002207505,wCBLE,5,A02,,overt,,,ica,,,,
